Sentence,Labels Set,subategory,
"રાજધાનીમાં કોરોનાના ઘટતા જતા કેસોને ધ્યાનમાં રાખીને દિલ્હી સરકારે અનલોક -7 માટેની ગાઈડલાઈન જાહેર કરી છે. આ અંતર્ગત કોઈપણ પ્રકારની તાલીમ માટે છૂટ આપવામાં આવી છે. સરકારના આદેશ મુજબ, અનલોક -7 માં, ઓડિટોરિયમ અને શાળાઓ અથવા શૈક્ષણિક સંસ્થાઓના એસેમ્બલી હોલ્સ શૈક્ષણિક તાલીમ અને 50% ક્ષમતા સાથે ખોલી શકાશે.",Non-Hate,Neutral,
"અભિનેત્રી પ્રત્યુષા પોલને મળી રહી છે બળાત્કારની ધમકીઓ, એક્ટ્રેસની માતા અને મિત્રોને અજાણ્યા",Hate,Accusations,
"માર પોલીસ વાડાયેજ ખાધો હશે કેમ કે પોલીસ વાડજ બધું ખાઈ છે પછી માર હોય કે પૈસા ",Hate,Accusations,
"મામુ કો રીસવત નહીં મીલી હોગી સેના કે જવાન કો મારતે હે ખોદ બલે ક કાચ વારી ગાડી મેં ધોમતે હે",,,
"આ જ બાકી હતું..જોવાનું.... રક્ષક અંદરો અંદર જ...આ કઈ ટાઈપ નો વિકાસ ?",,,
"દિઓદર પોલીસ એક આર્મી ના જવાન ઉપર હાથ ઉપાડી ને પોલીસ વરધી ને શરમ આવે તેવું કાયઁ કરયુ ખુદ પી એસ આઈ પોતે કાળા કાચ વાળી ગાડી મા ફરે જવાન ને માર મારવામાં આવ્યો અને 50000 ની લુટ કરી દિઓદર પોલીસ ના માણસોએ શરમજનક કામ ધિકકાર છે દિઓદર પોલીસ ને",Hate,Abusive,
"કાયદો જાહેર મો માર મારવામાં નથી બનાયો. ઠાકોર સમાજ ના કોઈ વકીલ હોય તો સાલો ને કોર્ટમાં પડકાર્યો જેટલા પોલીસ વાળા હોય તેમના ઉપર કેસ ઠોકી દો",,,
‎પોલીસ વડા ને એમ કે હાલી જૌ. બીટી ખબર નાઈ હોય. સેના વડા બાપુજી હાટા. હવા કરવા જ્ઞા.. હેસે કંસ્ટેબલ્યવ અને સામે બાપુજી આવી જ્ઞા.. ‎,,,
"‎આર્મી જવાન જય હો આર્મી વલાને પોલીસ વાલા ના પોઘે ભાઈ જવાનતો જવાન છે‎",Non-Hate,Neutral,
"દિયોદર પોલીસે ખુબજ ખરાબ કામ કરયૂ
દેશ મા જવાનો નુ સન્માન થાય શે અને આ દીયોદર પોલીસ જવાનો નુ જાહેર મા ઠોર માર મારે શે",Hate,Promoting violence,
"‎પોલીસ વડા ને અકાલ આવી જોયે... આર્મી મેન બોર્ડર પર ચે એટલ ટેમ સિટી મા કલર કરો ચો...‎",Non-Hate,Neutral,
"ભાઈ આર્મી ના જવાન છે કાયદો ના શિખડાવો ન્યા તો ફેસલો ઓન ધ સ્પોટ જ હોય",Hate,Promoting violence,
"પેલા બધે રસી પુરી પાડો પછી ફાંકા ફોજદારી કરો બહાર નીકળી ને જોવો લોકો લાઈન માં કેટલા હેરાન થાય છે એ આની કરતા તો પેલા ઓન લાઈન હતું ત્યારે સારું હતું
",Non-Hate,Neutral,
"પાણી માટે સરકાર મા રાજકારણ અંદર રમાય છે કોઇ બહાર ના નથી... પાણી નહી મળવાથી છેલ્લા 40 વર્ષ મા અનેક ગામડા ખાલી થાય કોંગ્રેસ પાણી ન પોચાડી શકી હવે કોંગ્રેસ ને દોષ ન દેવાય કારણ પ્રજા એ 25 વર્ષ થી આપણ ને રાજ આપ્યુ છે.... બીજુ પાણી સાથે રાજ્ય ની દરેક પાંજરા પોલ ને ઘાસ માટે વધારે rs ફાળવો કોઇ શંકા, કુશંકા ને સંકુચિતતા વગર અત્યારે પાંજરા પોળ ને દાન આવવુ મુશ્કેલ છે કોરોના વર્ષ ને મંદી ને કારણે.. ગુજરાત મા ખમતિ ધર સરકાર હૉય તો શુ કામ? પાંજરાપોળ ને શુ કામ સ્વમાન અપાવતા નથી.. હિન્દુ સંસ્કૃતિ અને સામાજિક પાયો છે... માટે rs પાણી ના ફાળવો તેમ પાંજરાપોળ ને રક્ષણ પૂરું પાડે..donar દાતા ની જરૂર શુકામ.. ખમતીધર સરકાર છે તો",Hate,Accusations,
"ખોટોછે
",Hate,Accusations,
"બનાસકાંઠામાં પણ વર્ષો પહેલા આ રીતે વચન આપવામાં આવ્યો હતો નર્મદાના નીર પહોંચે બનાસકાંઠા ની ધરતી પર અને થશે લીલા લહેર તો હવે કેમ પાણી આપતા નથી?",Hate,Accusations,
"ગુજરાત ની જનતા એ મોદીજી અને અમિતજી નો આભાર માનવો જોઈએ કે અન્ય રાજ્યો માં પેટ્રોલ ડીઝલ 100 ઉપર પહોંચી ગયું છે અને આપણને હજી 97 માં મળે છે.
બાર બાર મોદી સરકાર આભાર.",Non-Hate,Positive,
"ભાજપ ના કોઇ પણ ચોરો ની આમા જરુંર ના હોય",Hate,Accusations,
"જેના માં બાપે છોકરાઓ ને પેટે પાટા બોધી ભણાવાયા એ ને નોકરી નહીં એ ને પુછો સકારાત્મક સવાર કેવી હોય વાલા",Non-Hate,Neutral,
"મુખ્યમંત્રી મા કાર્ડ રિન્યુ કરાવવા હેલ્થ ઓફિસ મા આટા ખાવા પડે છે.",Hate,Accusations,
